All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    Assembly_CGT2006__asm_final.contigs  Assembly_CGT2010__asm_final.contigs  Assembly_CGT2044__asm_final.contigs  Assembly_CGT2049__asm_final.contigs  Assembly_CGT2060__asm_final.contigs  Assembly_CGT2069__asm_final.contigs  Assembly_CGT2076__asm_final.contigs  Assembly_CGT2093__asm_final.contigs  Assembly_CGT2114__asm_final.contigs  Assembly_CGT2116__asm_final.contigs  Assembly_CGT2119__asm_final.contigs  Assembly_CGT2123__asm_final.contigs  Assembly_CGT2135__asm_final.contigs  Assembly_CGT2196__asm_final.contigs  Assembly_CGT2214__asm_final.contigs  Assembly_CGT2269__asm_final.contigs  Assembly_CGT2278__asm_final.contigs  Assembly_CGT2287__asm_final.contigs  Assembly_CGT2304__asm_final.contigs  Assembly_CGT2318__asm_final.contigs  Assembly_CGT2326__asm_final.contigs  Assembly_CGT2332__asm_final.contigs  Assembly_CGT2344__asm_final.contigs  Assembly_CGT2364__asm_final.contigs  Assembly_CGT2374__asm_final.contigs  Assembly_CGT2386__asm_final.contigs  Assembly_CGT2393__asm_final.contigs  Assembly_CGT2400__asm_final.contigs  Assembly_CGT2424__asm_final.contigs  Assembly_CGT2427__asm_final.contigs  Assembly_CGT2428__asm_final.contigs  Assembly_CGT2443__asm_final.contigs  Assembly_CGT2471__asm_final.contigs  Assembly_CGT2472__asm_final.contigs  Assembly_CGT2514__asm_final.contigs  Assembly_CGT2517__asm_final.contigs  Assembly_CGT2540__asm_final.contigs  Assembly_CGT2552__asm_final.contigs  Assembly_CGT2567__asm_final.contigs  Assembly_CGT2599__asm_final.contigs  Assembly_CGT2628__asm_final.contigs  Assembly_CGT2659__asm_final.contigs  Assembly_CGT2683__asm_final.contigs  Assembly_CGT2742__asm_final.contigs  Assembly_CGT2785__asm_final.contigs  Assembly_CGT2805__asm_final.contigs  Assembly_CGT2843__asm_final.contigs  Assembly_CGT2858__asm_final.contigs  Assembly_CGT2878__asm_final.contigs  Assembly_CGT2908__asm_final.contigs
Total length (>= 25000 bp)  1072777                              0                                    896634                               1489672                              1080497                              1892277                              44196                                3448612                              3026490                              106907                               4308054                              3257517                              283075                               0                                    4522465                              4582381                              4572978                              2898818                              4580787                              4601782                              4589043                              4196531                              4581136                              4426760                              4587553                              4542994                              4552656                              3426915                              4591695                              4594123                              4590669                              4579455                              0                                    4550649                              4580733                              1888589                              3377655                              3750126                              3426675                              1941629                              2840496                              4555914                              4614547                              4581245                              4588996                              4587728                              4556406                              1710583                              3425698                              3428941                            
Total length (>= 50000 bp)  1040963                              0                                    896634                               1489672                              1040825                              1860463                              0                                    3286967                              2014285                              0                                    4099720                              1536080                              0                                    0                                    3985288                              4198208                              4327327                              1301751                              4198621                              4181684                              4019324                              3380829                              4122050                              3918000                              4151966                              4226741                              4212151                              1978929                              4179193                              4134313                              4246107                              4240665                              0                                    4319162                              4197042                              533384                               1915901                              2178949                              1978549                              282306                               877803                               4046518                              4198243                              4210889                              4245329                              4196684                              4220599                              374694                               1915710                              1937291                            
# contigs                   10                                   599                                  2                                    16                                   10                                   13                                   1050                                 28                                   56                                   1115                                 40                                   242                                  756                                  1284                                 73                                   64                                   51                                   286                                  68                                   62                                   65                                   114                                  67                                   76                                   61                                   56                                   62                                   192                                  68                                   60                                   62                                   62                                   1688                                 55                                   64                                   376                                  197                                  184                                  201                                  384                                  298                                  66                                   62                                   66                                   62                                   66                                   54                                   407                                  197                                  200                                
Largest contig              387262                               11977                                662288                               181027                               387169                               452260                               44196                                387086                               185572                               28658                                387272                               133157                               42924                                22641                                247668                               432864                               701840                               138920                               356048                               432906                               578100                               337687                               356044                               251301                               409045                               353713                               703563                               156520                               433104                               390536                               432982                               322419                               17919                                353737                               432864                               68890                                156514                               123041                               156522                               59636                                117367                               387272                               387272                               433527                               433049                               433051                               485560                               81626                                156559                               156580                             
Total length                1082173                              1524906                              896634                               1489672                              1082515                              1902168                              3785362                              3459236                              3053058                              4691930                              4336720                              4480877                              4719721                              4444081                              4688066                              4713913                              4687661                              4712984                              4713439                              4711963                              4707317                              4671319                              4712549                              4678549                              4710235                              4685699                              4668179                              4483158                              4713183                              4709637                              4713990                              4707825                              4653285                              4685815                              4712407                              4712659                              4488312                              4707461                              4496062                              4719103                              4713909                              4712103                              4713105                              4713103                              4713436                              4713412                              4712773                              4673151                              4488860                              4497071                            
GC (%)                      51.45                                51.46                                50.91                                53.17                                51.45                                51.52                                52.10                                52.12                                52.96                                52.21                                52.23                                52.43                                52.22                                52.54                                52.15                                52.22                                52.15                                52.22                                52.22                                52.22                                52.22                                52.20                                52.22                                52.15                                52.22                                52.15                                52.20                                52.45                                52.22                                52.22                                52.22                                52.21                                52.03                                52.15                                52.22                                52.22                                52.44                                52.21                                52.42                                52.21                                52.21                                52.22                                52.22                                52.22                                52.22                                52.22                                52.02                                52.20                                52.43                                52.41                              
N50                         278471                               3637                                 662288                               89683                                278471                               367217                               5457                                 225243                               61882                                6721                                 193676                               34237                                10637                                5665                                 152365                               187961                               171108                               31882                                167341                               187841                               167394                               80581                                167283                               137431                               187889                               171119                               182439                               44363                                188021                               187720                               187997                               187814                               4141                                 161753                               187986                               21135                                41465                                47714                                44372                                20883                                31764                                187653                               187773                               187861                               187822                               188051                               192895                               20272                                39647                                43692                              
N90                         91295                                1171                                 234346                               69109                                91295                                91295                                1700                                 111133                               32186                                1998                                 72416                                10986                                3322                                 1579                                 44972                                48790                                61767                                9549                                 48777                                47344                                45060                                24715                                47452                                43812                                47533                                50502                                50085                                14307                                47425                                47017                                51402                                51151                                1292                                 61727                                48792                                7002                                 14245                                16426                                14307                                7137                                 9719                                 45887                                48793                                48787                                51385                                48783                                44936                                6229                                 14290                                14409                              
auN                         245426.5                             4273.5                               550440.2                             104271.5                             245736.6                             318048.8                             6909.4                               242606.5                             78356.3                              8118.1                               203484.1                             44834.8                              12130.3                              6862.6                               135824.0                             199346.7                             240449.8                             40356.3                              174924.4                             197233.0                             203482.4                             97814.4                              177885.3                             133214.7                             186629.2                             178981.2                             250505.4                             56743.1                              196921.5                             202889.9                             197543.0                             168681.2                             4823.8                               165221.7                             199355.5                             25914.6                              56231.6                              52815.5                              56614.5                              24476.5                              36574.2                              188444.1                             189952.7                             189345.5                             200015.0                             192793.2                             219482.6                             23825.3                              56140.1                              54663.6                            
L50                         2                                    133                                  1                                    6                                    2                                    3                                    211                                  6                                    16                                   215                                  8                                    38                                   143                                  235                                  13                                   9                                    9                                    45                                   10                                   9                                    9                                    19                                   10                                   13                                   9                                    10                                   8                                    30                                   9                                    9                                    9                                    10                                   362                                  11                                   9                                    68                                   31                                   33                                   30                                   70                                   49                                   9                                    9                                    9                                    9                                    9                                    8                                    74                                   31                                   31                                 
L90                         5                                    409                                  2                                    14                                   5                                    7                                    680                                  14                                   43                                   699                                  24                                   121                                  440                                  797                                  36                                   28                                   24                                   147                                  30                                   29                                   31                                   58                                   31                                   38                                   30                                   27                                   25                                   101                                  29                                   29                                   28                                   30                                   1125                                 28                                   28                                   211                                  102                                  95                                   101                                  217                                  150                                  31                                   29                                   29                                   28                                   29                                   25                                   234                                  102                                  102                                
# N's per 100 kbp           0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                               
