All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                             # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50     N90     auN       L50  L90   # N's per 100 kbp
Assembly_CGT2123__asm_final.contigs  291                  214                     155                     129                      73                       21                       4497878                 4462185                    4310754                    4119757                     3257517                     1536080                     242        133157          4480877       52.43   34237   10986   44834.8   38   121   0.00             
Assembly_CGT2135__asm_final.contigs  927                  622                     340                     154                      9                        0                        4781409                 4626340                    3836365                    2476337                     283075                      0                           756        42924           4719721       52.22   10637   3322    12130.3   143  440   0.00             
Assembly_CGT2196__asm_final.contigs  1715                 962                     280                     87                       0                        0                        4599774                 4209667                    2462369                    1135340                     0                           0                           1284       22641           4444081       52.54   5665    1579    6862.6    235  797   0.00             
Assembly_CGT2214__asm_final.contigs  113                  65                      54                      48                       43                       30                       4702005                 4682554                    4656330                    4616609                     4522465                     3985288                     73         247668          4688066       52.15   152365  44972   135824.0  13   36    0.00             
Assembly_CGT2269__asm_final.contigs  91                   55                      47                      42                       37                       27                       4721956                 4707696                    4689411                    4655663                     4582381                     4198208                     64         432864          4713913       52.22   187961  48790   199346.7  9    28    0.00             
Assembly_CGT2278__asm_final.contigs  62                   49                      41                      34                       31                       25                       4691221                 4686302                    4666204                    4621663                     4572978                     4327327                     51         701840          4687661       52.15   171108  61767   240449.8  9    24    0.00             
Assembly_CGT2287__asm_final.contigs  361                  244                     189                     143                      64                       18                       4739304                 4681902                    4528585                    4205272                     2898818                     1301751                     286        138920          4712984       52.22   31882   9549    40356.3   45   147   0.00             
Assembly_CGT2304__asm_final.contigs  103                  57                      49                      44                       39                       29                       4724603                 4705968                    4687749                    4653997                     4580787                     4198621                     68         356048          4713439       52.22   167341  48777   174924.4  10   30    0.00             
Assembly_CGT2318__asm_final.contigs  101                  53                      46                      42                       38                       27                       4724198                 4705555                    4688561                    4662369                     4601782                     4181684                     62         432906          4711963       52.22   187841  47344   197233.0  9    29    0.00             
Assembly_CGT2326__asm_final.contigs  79                   57                      50                      45                       41                       26                       4712677                 4701876                    4683035                    4649538                     4589043                     4019324                     65         578100          4707317       52.22   167394  45060   203482.4  9    31    0.00             
Assembly_CGT2332__asm_final.contigs  139                  110                     89                      78                       57                       35                       4679347                 4668628                    4622841                    4535506                     4196531                     3380829                     114        337687          4671319       52.20   80581   24715   97814.4   19   58    0.00             
Assembly_CGT2344__asm_final.contigs  87                   57                      50                      45                       40                       28                       4718747                 4705625                    4689074                    4654374                     4581136                     4122050                     67         356044          4712549       52.22   167283  47452   177885.3  10   31    0.00             
Assembly_CGT2364__asm_final.contigs  96                   71                      65                      53                       44                       31                       4686358                 4675112                    4656052                    4563829                     4426760                     3918000                     76         251301          4678549       52.15   137431  43812   133214.7  13   38    0.00             
Assembly_CGT2374__asm_final.contigs  86                   55                      48                      44                       39                       28                       4717964                 4706297                    4689923                    4663563                     4587553                     4151966                     61         409045          4710235       52.22   187889  47533   186629.2  9    30    0.00             
Assembly_CGT2386__asm_final.contigs  87                   55                      48                      40                       35                       27                       4695838                 4685165                    4666430                    4613093                     4542994                     4226741                     56         353713          4685699       52.15   171119  50502   178981.2  10   27    0.00             
Assembly_CGT2393__asm_final.contigs  78                   59                      42                      38                       35                       25                       4673898                 4665975                    4629376                    4598739                     4552656                     4212151                     62         703563          4668179       52.20   182439  50085   250505.4  8    25    0.00             
Assembly_CGT2400__asm_final.contigs  212                  177                     137                     114                      68                       24                       4491397                 4473760                    4376060                    4202048                     3426915                     1978929                     192        156520          4483158       52.45   44363   14307   56743.1   30   101   0.00             
Assembly_CGT2424__asm_final.contigs  103                  55                      47                      42                       38                       27                       4724305                 4704369                    4685959                    4652327                     4591695                     4179193                     68         433104          4713183       52.22   188021  47425   196921.5  9    29    0.00             
Assembly_CGT2427__asm_final.contigs  80                   54                      48                      42                       38                       26                       4716370                 4705457                    4693149                    4654422                     4594123                     4134313                     60         390536          4709637       52.22   187720  47017   202889.9  9    29    0.00             
Assembly_CGT2428__asm_final.contigs  85                   54                      46                      42                       37                       28                       4722173                 4708457                    4690083                    4663861                     4590669                     4246107                     62         432982          4713990       52.22   187997  51402   197543.0  9    28    0.00             
Assembly_CGT2443__asm_final.contigs  107                  57                      49                      44                       39                       30                       4722348                 4704504                    4686114                    4652467                     4579455                     4240665                     62         322419          4707825       52.21   187814  51151   168681.2  10   30    0.00             
Assembly_CGT2471__asm_final.contigs  2187                 1277                    235                     27                       0                        0                        4834872                 4362147                    1754511                    343100                      0                           0                           1688       17919           4653285       52.03   4141    1292    4823.8    362  1125  0.00             
Assembly_CGT2472__asm_final.contigs  80                   54                      47                      41                       36                       30                       4694629                 4684991                    4667301                    4625282                     4550649                     4319162                     55         353737          4685815       52.15   161753  61727   165221.7  11   28    0.00             
Assembly_CGT2514__asm_final.contigs  85                   55                      47                      42                       37                       27                       4719391                 4705898                    4687683                    4654040                     4580733                     4197042                     64         432864          4712407       52.22   187986  48792   199355.5  9    28    0.00             
Assembly_CGT2517__asm_final.contigs  456                  327                     246                     170                      47                       9                        4741206                 4679036                    4456940                    3912303                     1888589                     533384                      376        68890           4712659       52.22   21135   7002    25914.6   68   211   0.00             
Assembly_CGT2540__asm_final.contigs  212                  185                     137                     117                      67                       23                       4493411                 4479381                    4368734                    4219513                     3377655                     1915901                     197        156514          4488312       52.44   41465   14245   56231.6   31   102   0.00             
Assembly_CGT2552__asm_final.contigs  253                  157                     134                     111                      71                       29                       4730972                 4689326                    4625959                    4454365                     3750126                     2178949                     184        123041          4707461       52.21   47714   16426   52815.5   33   95    0.00             
Assembly_CGT2567__asm_final.contigs  219                  181                     136                     116                      68                       24                       4501480                 4481115                    4378820                    4233459                     3426675                     1978549                     201        156522          4496062       52.42   44372   14307   56614.5   30   101   0.00             
Assembly_CGT2599__asm_final.contigs  538                  338                     251                     180                      51                       5                        4772091                 4688340                    4454825                    3942497                     1941629                     282306                      384        59636           4719103       52.21   20883   7137    24476.5   70   217   0.00             
Assembly_CGT2628__asm_final.contigs  471                  246                     188                     145                      65                       12                       4772934                 4675311                    4525693                    4197256                     2840496                     877803                      298        117367          4713909       52.21   31764   9719    36574.2   49   150   0.00             
Assembly_CGT2659__asm_final.contigs  103                  57                      50                      45                       39                       26                       4723867                 4705763                    4688109                    4653991                     4555914                     4046518                     66         387272          4712103       52.22   187653  45887   188444.1  9    31    0.00             
Assembly_CGT2683__asm_final.contigs  100                  55                      47                      42                       39                       28                       4726236                 4708347                    4689436                    4655839                     4614547                     4198243                     62         387272          4713105       52.22   187773  48793   189952.7  9    29    0.00             
Assembly_CGT2742__asm_final.contigs  110                  56                      48                      43                       38                       28                       4727319                 4706222                    4687966                    4654447                     4581245                     4210889                     66         433527          4713103       52.22   187861  48787   189345.5  9    29    0.00             
Assembly_CGT2785__asm_final.contigs  88                   53                      47                      42                       37                       28                       4722184                 4707535                    4694404                    4662978                     4588996                     4245329                     62         433049          4713436       52.22   187822  51385   200015.0  9    28    0.00             
Assembly_CGT2805__asm_final.contigs  107                  55                      47                      43                       38                       28                       4726841                 4706090                    4687183                    4660961                     4587728                     4196684                     66         433051          4713412       52.22   188051  48783   192793.2  9    29    0.00             
Assembly_CGT2843__asm_final.contigs  66                   50                      43                      41                       34                       24                       4717036                 4710305                    4689306                    4674444                     4556406                     4220599                     54         485560          4712773       52.02   192895  44936   219482.6  8    25    0.00             
Assembly_CGT2858__asm_final.contigs  519                  374                     254                     165                      46                       6                        4711693                 4648856                    4323334                    3668685                     1710583                     374694                      407        81626           4673151       52.20   20272   6229    23825.3   74   234   0.00             
Assembly_CGT2878__asm_final.contigs  223                  183                     138                     116                      69                       23                       4497912                 4478566                    4372085                    4207643                     3425698                     1915710                     197        156559          4488860       52.43   39647   14290   56140.1   31   102   0.00             
Assembly_CGT2908__asm_final.contigs  206                  181                     137                     116                      69                       24                       4498765                 4483215                    4382136                    4227004                     3428941                     1937291                     200        156580          4497071       52.41   43692   14409   54663.6   31   102   0.00             
